"","Preference","Knowledge","Character","Start","Path","Choice","p_long","p_hotdog","p_action","numtag","situTag","longHotdog","shortHotdog","longPizza","shortPizza"
"1","Absent","No","Lazy","Pizza","Short","Pizza",0.0288043926305364,0.150076650684633,0.825441823455826,"000000","0000",0.00432286677099604,0.145753783913637,0.0244815258595404,0.825441823455826
"2","Hotdog","No","Lazy","Pizza","Short","Pizza",0.0288043926305364,0.477016208947552,0.507919560595567,"100000","1000",0.0137401621736553,0.463276046773896,0.0150642304568811,0.507919560595567
"3","Absent","Yes","Lazy","Pizza","Short","Pizza",0.0434384559173688,0.226531664194164,0.739870065597454,"010000","0100",0.00984018570898638,0.216691478485177,0.0335982702083824,0.739870065597454
"4","Hotdog","Yes","Lazy","Pizza","Short","Pizza",0.0434384559173688,0.602046614866693,0.380666904556026,"110000","1100",0.026151975340088,0.575894639526605,0.0172864805772808,0.380666904556026
"5","Absent","No","Sporty","Pizza","Short","Pizza",0.367954987455635,0.355259363007132,0.407505103996019,"001000","0010",0.130719454458786,0.224539908548346,0.237235532996849,0.407505103996019
"6","Hotdog","No","Sporty","Pizza","Short","Pizza",0.367954987455635,0.740006049937193,0.164327879428906,"101000","1010",0.272288916821734,0.467717133115459,0.0956660706339011,0.164327879428906
"7","Absent","Yes","Sporty","Pizza","Short","Pizza",0.47128164304856,0.4775151752082,0.276247318095981,"011000","0110",0.225044136352742,0.252471038855458,0.246237506695819,0.276247318095981
"8","Hotdog","Yes","Sporty","Pizza","Short","Pizza",0.47128164304856,0.825202406284879,0.092418696548124,"111000","1110",0.388902745881564,0.436299660403316,0.0823788971669969,0.092418696548124
"9","Absent","No","Lazy","Hotdog","Short","Pizza",0.0288043926305364,0.537678435025038,0.449004673095859,"000100","0001",0.0154875007514336,0.522190934273604,0.0133168918791029,0.449004673095859
"10","Hotdog","No","Lazy","Hotdog","Short","Pizza",0.0288043926305364,0.857294691580815,0.138594768685017,"100100","1001",0.0246938528963684,0.832600838684447,0.004110539734168,0.138594768685017
"11","Absent","Yes","Lazy","Hotdog","Short","Pizza",0.0434384559173688,0.472029232664427,0.505036532433008,"010100","0101",0.0205042210148031,0.451525011649623,0.0229342349025657,0.505036532433008
"12","Hotdog","Yes","Lazy","Hotdog","Short","Pizza",0.0434384559173688,0.822006314213753,0.170261914912651,"110100","1101",0.035706685043773,0.786299629169981,0.00773177087359587,0.170261914912651
"13","Absent","No","Sporty","Hotdog","Short","Pizza",0.367954987455635,0.404439697749876,0.376420918706606,"001100","0011",0.148815603912116,0.255624093837759,0.219139383543519,0.376420918706606
"14","Hotdog","No","Sporty","Hotdog","Short","Pizza",0.367954987455635,0.7781641849247,0.140210220522057,"101100","1011",0.286329392902392,0.491834792022308,0.0816255945532424,0.140210220522057
"15","Absent","Yes","Sporty","Hotdog","Short","Pizza",0.47128164304856,0.342989537326501,0.347373492324637,"011100","0111",0.161644672699699,0.181344864626802,0.309636970348861,0.347373492324637
"16","Hotdog","Yes","Sporty","Hotdog","Short","Pizza",0.47128164304856,0.729482778751689,0.143027420745476,"111100","1111",0.343791842545726,0.385690936205964,0.127489800502835,0.143027420745476
"17","Absent","No","Lazy","Pizza","Long","Pizza",0.0288043926305364,0.150076650684633,0.0244815258595404,"000001","0000",0.00432286677099604,0.145753783913637,0.0244815258595404,0.825441823455826
"18","Hotdog","No","Lazy","Pizza","Long","Pizza",0.0288043926305364,0.477016208947552,0.0150642304568811,"100001","1000",0.0137401621736553,0.463276046773896,0.0150642304568811,0.507919560595567
"19","Absent","Yes","Lazy","Pizza","Long","Pizza",0.0434384559173688,0.226531664194164,0.0335982702083824,"010001","0100",0.00984018570898638,0.216691478485177,0.0335982702083824,0.739870065597454
"20","Hotdog","Yes","Lazy","Pizza","Long","Pizza",0.0434384559173688,0.602046614866693,0.0172864805772808,"110001","1100",0.026151975340088,0.575894639526605,0.0172864805772808,0.380666904556026
"21","Absent","No","Sporty","Pizza","Long","Pizza",0.367954987455635,0.355259363007132,0.237235532996849,"001001","0010",0.130719454458786,0.224539908548346,0.237235532996849,0.407505103996019
"22","Hotdog","No","Sporty","Pizza","Long","Pizza",0.367954987455635,0.740006049937193,0.0956660706339011,"101001","1010",0.272288916821734,0.467717133115459,0.0956660706339011,0.164327879428906
"23","Absent","Yes","Sporty","Pizza","Long","Pizza",0.47128164304856,0.4775151752082,0.246237506695819,"011001","0110",0.225044136352742,0.252471038855458,0.246237506695819,0.276247318095981
"24","Hotdog","Yes","Sporty","Pizza","Long","Pizza",0.47128164304856,0.825202406284879,0.0823788971669969,"111001","1110",0.388902745881564,0.436299660403316,0.0823788971669969,0.092418696548124
"25","Absent","No","Lazy","Hotdog","Long","Pizza",0.0288043926305364,0.537678435025038,0.0133168918791029,"000101","0001",0.0154875007514336,0.522190934273604,0.0133168918791029,0.449004673095859
"26","Hotdog","No","Lazy","Hotdog","Long","Pizza",0.0288043926305364,0.857294691580815,0.004110539734168,"100101","1001",0.0246938528963684,0.832600838684447,0.004110539734168,0.138594768685017
"27","Absent","Yes","Lazy","Hotdog","Long","Pizza",0.0434384559173688,0.472029232664427,0.0229342349025657,"010101","0101",0.0205042210148031,0.451525011649623,0.0229342349025657,0.505036532433008
"28","Hotdog","Yes","Lazy","Hotdog","Long","Pizza",0.0434384559173688,0.822006314213753,0.00773177087359587,"110101","1101",0.035706685043773,0.786299629169981,0.00773177087359587,0.170261914912651
"29","Absent","No","Sporty","Hotdog","Long","Pizza",0.367954987455635,0.404439697749876,0.219139383543519,"001101","0011",0.148815603912116,0.255624093837759,0.219139383543519,0.376420918706606
"30","Hotdog","No","Sporty","Hotdog","Long","Pizza",0.367954987455635,0.7781641849247,0.0816255945532424,"101101","1011",0.286329392902392,0.491834792022308,0.0816255945532424,0.140210220522057
"31","Absent","Yes","Sporty","Hotdog","Long","Pizza",0.47128164304856,0.342989537326501,0.309636970348861,"011101","0111",0.161644672699699,0.181344864626802,0.309636970348861,0.347373492324637
"32","Hotdog","Yes","Sporty","Hotdog","Long","Pizza",0.47128164304856,0.729482778751689,0.127489800502835,"111101","1111",0.343791842545726,0.385690936205964,0.127489800502835,0.143027420745476
"33","Absent","No","Lazy","Pizza","Short","Hotdog",0.0288043926305364,0.150076650684633,0.145753783913637,"000010","0000",0.00432286677099604,0.145753783913637,0.0244815258595404,0.825441823455826
"34","Hotdog","No","Lazy","Pizza","Short","Hotdog",0.0288043926305364,0.477016208947552,0.463276046773896,"100010","1000",0.0137401621736553,0.463276046773896,0.0150642304568811,0.507919560595567
"35","Absent","Yes","Lazy","Pizza","Short","Hotdog",0.0434384559173688,0.226531664194164,0.216691478485177,"010010","0100",0.00984018570898638,0.216691478485177,0.0335982702083824,0.739870065597454
"36","Hotdog","Yes","Lazy","Pizza","Short","Hotdog",0.0434384559173688,0.602046614866693,0.575894639526605,"110010","1100",0.026151975340088,0.575894639526605,0.0172864805772808,0.380666904556026
"37","Absent","No","Sporty","Pizza","Short","Hotdog",0.367954987455635,0.355259363007132,0.224539908548346,"001010","0010",0.130719454458786,0.224539908548346,0.237235532996849,0.407505103996019
"38","Hotdog","No","Sporty","Pizza","Short","Hotdog",0.367954987455635,0.740006049937193,0.467717133115459,"101010","1010",0.272288916821734,0.467717133115459,0.0956660706339011,0.164327879428906
"39","Absent","Yes","Sporty","Pizza","Short","Hotdog",0.47128164304856,0.4775151752082,0.252471038855458,"011010","0110",0.225044136352742,0.252471038855458,0.246237506695819,0.276247318095981
"40","Hotdog","Yes","Sporty","Pizza","Short","Hotdog",0.47128164304856,0.825202406284879,0.436299660403316,"111010","1110",0.388902745881564,0.436299660403316,0.0823788971669969,0.092418696548124
"41","Absent","No","Lazy","Hotdog","Short","Hotdog",0.0288043926305364,0.537678435025038,0.522190934273604,"000110","0001",0.0154875007514336,0.522190934273604,0.0133168918791029,0.449004673095859
"42","Hotdog","No","Lazy","Hotdog","Short","Hotdog",0.0288043926305364,0.857294691580815,0.832600838684447,"100110","1001",0.0246938528963684,0.832600838684447,0.004110539734168,0.138594768685017
"43","Absent","Yes","Lazy","Hotdog","Short","Hotdog",0.0434384559173688,0.472029232664427,0.451525011649623,"010110","0101",0.0205042210148031,0.451525011649623,0.0229342349025657,0.505036532433008
"44","Hotdog","Yes","Lazy","Hotdog","Short","Hotdog",0.0434384559173688,0.822006314213753,0.786299629169981,"110110","1101",0.035706685043773,0.786299629169981,0.00773177087359587,0.170261914912651
"45","Absent","No","Sporty","Hotdog","Short","Hotdog",0.367954987455635,0.404439697749876,0.255624093837759,"001110","0011",0.148815603912116,0.255624093837759,0.219139383543519,0.376420918706606
"46","Hotdog","No","Sporty","Hotdog","Short","Hotdog",0.367954987455635,0.7781641849247,0.491834792022308,"101110","1011",0.286329392902392,0.491834792022308,0.0816255945532424,0.140210220522057
"47","Absent","Yes","Sporty","Hotdog","Short","Hotdog",0.47128164304856,0.342989537326501,0.181344864626802,"011110","0111",0.161644672699699,0.181344864626802,0.309636970348861,0.347373492324637
"48","Hotdog","Yes","Sporty","Hotdog","Short","Hotdog",0.47128164304856,0.729482778751689,0.385690936205964,"111110","1111",0.343791842545726,0.385690936205964,0.127489800502835,0.143027420745476
"49","Absent","No","Lazy","Pizza","Long","Hotdog",0.0288043926305364,0.150076650684633,0.00432286677099604,"000011","0000",0.00432286677099604,0.145753783913637,0.0244815258595404,0.825441823455826
"50","Hotdog","No","Lazy","Pizza","Long","Hotdog",0.0288043926305364,0.477016208947552,0.0137401621736553,"100011","1000",0.0137401621736553,0.463276046773896,0.0150642304568811,0.507919560595567
"51","Absent","Yes","Lazy","Pizza","Long","Hotdog",0.0434384559173688,0.226531664194164,0.00984018570898638,"010011","0100",0.00984018570898638,0.216691478485177,0.0335982702083824,0.739870065597454
"52","Hotdog","Yes","Lazy","Pizza","Long","Hotdog",0.0434384559173688,0.602046614866693,0.026151975340088,"110011","1100",0.026151975340088,0.575894639526605,0.0172864805772808,0.380666904556026
"53","Absent","No","Sporty","Pizza","Long","Hotdog",0.367954987455635,0.355259363007132,0.130719454458786,"001011","0010",0.130719454458786,0.224539908548346,0.237235532996849,0.407505103996019
"54","Hotdog","No","Sporty","Pizza","Long","Hotdog",0.367954987455635,0.740006049937193,0.272288916821734,"101011","1010",0.272288916821734,0.467717133115459,0.0956660706339011,0.164327879428906
"55","Absent","Yes","Sporty","Pizza","Long","Hotdog",0.47128164304856,0.4775151752082,0.225044136352742,"011011","0110",0.225044136352742,0.252471038855458,0.246237506695819,0.276247318095981
"56","Hotdog","Yes","Sporty","Pizza","Long","Hotdog",0.47128164304856,0.825202406284879,0.388902745881564,"111011","1110",0.388902745881564,0.436299660403316,0.0823788971669969,0.092418696548124
"57","Absent","No","Lazy","Hotdog","Long","Hotdog",0.0288043926305364,0.537678435025038,0.0154875007514336,"000111","0001",0.0154875007514336,0.522190934273604,0.0133168918791029,0.449004673095859
"58","Hotdog","No","Lazy","Hotdog","Long","Hotdog",0.0288043926305364,0.857294691580815,0.0246938528963684,"100111","1001",0.0246938528963684,0.832600838684447,0.004110539734168,0.138594768685017
"59","Absent","Yes","Lazy","Hotdog","Long","Hotdog",0.0434384559173688,0.472029232664427,0.0205042210148031,"010111","0101",0.0205042210148031,0.451525011649623,0.0229342349025657,0.505036532433008
"60","Hotdog","Yes","Lazy","Hotdog","Long","Hotdog",0.0434384559173688,0.822006314213753,0.035706685043773,"110111","1101",0.035706685043773,0.786299629169981,0.00773177087359587,0.170261914912651
"61","Absent","No","Sporty","Hotdog","Long","Hotdog",0.367954987455635,0.404439697749876,0.148815603912116,"001111","0011",0.148815603912116,0.255624093837759,0.219139383543519,0.376420918706606
"62","Hotdog","No","Sporty","Hotdog","Long","Hotdog",0.367954987455635,0.7781641849247,0.286329392902392,"101111","1011",0.286329392902392,0.491834792022308,0.0816255945532424,0.140210220522057
"63","Absent","Yes","Sporty","Hotdog","Long","Hotdog",0.47128164304856,0.342989537326501,0.161644672699699,"011111","0111",0.161644672699699,0.181344864626802,0.309636970348861,0.347373492324637
"64","Hotdog","Yes","Sporty","Hotdog","Long","Hotdog",0.47128164304856,0.729482778751689,0.343791842545726,"111111","1111",0.343791842545726,0.385690936205964,0.127489800502835,0.143027420745476
