"","Preference","Knowledge","Character","Start","Path","Choice","p_short","p_hotdog","p_action","numtag"
"1","Absent","No","Lazy","Hotdog","Short","Pizza",0.946748121416259,0.537678435025038,0.43770207313027,"000000"
"2","Hotdog","No","Lazy","Hotdog","Short","Pizza",0.946748121416259,0.857294691580815,0.135105982661991,"100000"
"3","Absent","Yes","Lazy","Hotdog","Short","Pizza",0.959650881303193,0.472029232664427,0.506667612175906,"010000"
"4","Hotdog","Yes","Lazy","Hotdog","Short","Pizza",0.959650881303193,0.822006314213753,0.170811797431175,"110000"
"5","Absent","No","Sporty","Hotdog","Short","Pizza",0.554285182673468,0.404680588978074,0.32997672848735,"001000"
"6","Hotdog","No","Sporty","Hotdog","Short","Pizza",0.554285182673468,0.778336761591896,0.122864648593028,"101000"
"7","Absent","Yes","Sporty","Hotdog","Short","Pizza",0.624572021882836,0.343214920409833,0.41020958510211,"011000"
"8","Hotdog","Yes","Sporty","Hotdog","Short","Pizza",0.624572021882836,0.729680071114305,0.168834264539363,"111000"
"9","Absent","No","Lazy","Pizza","Short","Pizza",0.946748121416259,0.150076650684633,0.804663334312138,"000100"
"10","Hotdog","No","Lazy","Pizza","Short","Pizza",0.946748121416259,0.477016208947552,0.495133921710059,"100100"
"11","Absent","Yes","Lazy","Pizza","Short","Pizza",0.959650881303193,0.226531664194164,0.742259570116185,"010100"
"12","Hotdog","Yes","Lazy","Pizza","Short","Pizza",0.959650881303193,0.602046614866693,0.381896316760767,"110100"
"13","Absent","No","Sporty","Pizza","Short","Pizza",0.554285182673468,0.355488446293705,0.357243204281254,"001100"
"14","Hotdog","No","Sporty","Pizza","Short","Pizza",0.554285182673468,0.740198400851774,0.144004176842734,"101100"
"15","Absent","Yes","Sporty","Pizza","Short","Pizza",0.624572021882836,0.477764675230027,0.326173572690222,"011100"
"16","Hotdog","Yes","Sporty","Pizza","Short","Pizza",0.624572021882836,0.825346602774764,0.109083625433672,"111100"
"17","Absent","No","Lazy","Hotdog","Long","Pizza",0.946748121416259,0.537678435025038,0.0246194918446917,"000001"
"18","Hotdog","No","Lazy","Hotdog","Long","Pizza",0.946748121416259,0.857294691580815,0.00759932575719371,"100001"
"19","Absent","Yes","Lazy","Hotdog","Long","Pizza",0.959650881303193,0.472029232664427,0.0213031551596674,"010001"
"20","Hotdog","Yes","Lazy","Hotdog","Long","Pizza",0.959650881303193,0.822006314213753,0.00718188835507145,"110001"
"21","Absent","No","Sporty","Hotdog","Long","Pizza",0.554285182673468,0.404680588978074,0.265342682534577,"001001"
"22","Hotdog","No","Sporty","Hotdog","Long","Pizza",0.554285182673468,0.778336761591896,0.0987985898150756,"101001"
"23","Absent","Yes","Sporty","Hotdog","Long","Pizza",0.624572021882836,0.343214920409833,0.246575494488058,"011001"
"24","Hotdog","Yes","Sporty","Hotdog","Long","Pizza",0.624572021882836,0.729680071114305,0.101485664346332,"111001"
"25","Absent","No","Lazy","Pizza","Long","Pizza",0.946748121416259,0.150076650684633,0.0452600150032281,"000101"
"26","Hotdog","No","Lazy","Pizza","Long","Pizza",0.946748121416259,0.477016208947552,0.0278498693423894,"100101"
"27","Absent","Yes","Lazy","Pizza","Long","Pizza",0.959650881303193,0.226531664194164,0.0312087656896516,"010101"
"28","Hotdog","Yes","Lazy","Pizza","Long","Pizza",0.959650881303193,0.602046614866693,0.01605706837254,"110101"
"29","Absent","No","Sporty","Pizza","Long","Pizza",0.554285182673468,0.355488446293705,0.287268349425041,"001101"
"30","Hotdog","No","Sporty","Pizza","Long","Pizza",0.554285182673468,0.740198400851774,0.115797422305492,"101101"
"31","Absent","Yes","Sporty","Pizza","Long","Pizza",0.624572021882836,0.477764675230027,0.196061752079752,"011101"
"32","Hotdog","Yes","Sporty","Pizza","Long","Pizza",0.624572021882836,0.825346602774764,0.0655697717915644,"111101"
"33","Absent","No","Lazy","Hotdog","Short","Hotdog",0.946748121416259,0.537678435025038,0.509046048285989,"000010"
"34","Hotdog","No","Lazy","Hotdog","Short","Hotdog",0.946748121416259,0.857294691580815,0.811642138754268,"100010"
"35","Absent","Yes","Lazy","Hotdog","Short","Hotdog",0.959650881303193,0.472029232664427,0.452983269127287,"010010"
"36","Hotdog","Yes","Lazy","Hotdog","Short","Hotdog",0.959650881303193,0.822006314213753,0.788839083872018,"110010"
"37","Absent","No","Sporty","Hotdog","Short","Hotdog",0.554285182673468,0.404680588978074,0.224308454186118,"001010"
"38","Hotdog","No","Sporty","Hotdog","Short","Hotdog",0.554285182673468,0.778336761591896,0.43142053408044,"101010"
"39","Absent","Yes","Sporty","Hotdog","Short","Hotdog",0.624572021882836,0.343214920409833,0.214362436780726,"011010"
"40","Hotdog","Yes","Sporty","Hotdog","Short","Hotdog",0.624572021882836,0.729680071114305,0.455737757343473,"111010"
"41","Absent","No","Lazy","Pizza","Short","Hotdog",0.946748121416259,0.150076650684633,0.142084787104121,"000110"
"42","Hotdog","No","Lazy","Pizza","Short","Hotdog",0.946748121416259,0.477016208947552,0.4516141997062,"100110"
"43","Absent","Yes","Lazy","Pizza","Short","Hotdog",0.959650881303193,0.226531664194164,0.217391311187008,"010110"
"44","Hotdog","Yes","Lazy","Pizza","Short","Hotdog",0.959650881303193,0.602046614866693,0.577754564542426,"110110"
"45","Absent","No","Sporty","Pizza","Short","Hotdog",0.554285182673468,0.355488446293705,0.197041978392214,"001110"
"46","Hotdog","No","Sporty","Pizza","Short","Hotdog",0.554285182673468,0.740198400851774,0.410281005830734,"101110"
"47","Absent","Yes","Sporty","Pizza","Short","Hotdog",0.624572021882836,0.477764675230027,0.298398449192614,"011110"
"48","Hotdog","Yes","Sporty","Pizza","Short","Hotdog",0.624572021882836,0.825346602774764,0.515488396449164,"111110"
"49","Absent","No","Lazy","Hotdog","Long","Hotdog",0.946748121416259,0.537678435025038,0.028632386739049,"000011"
"50","Hotdog","No","Lazy","Hotdog","Long","Hotdog",0.946748121416259,0.857294691580815,0.045652552826547,"100011"
"51","Absent","Yes","Lazy","Hotdog","Long","Hotdog",0.959650881303193,0.472029232664427,0.0190459635371397,"010011"
"52","Hotdog","Yes","Lazy","Hotdog","Long","Hotdog",0.959650881303193,0.822006314213753,0.0331672303417357,"110011"
"53","Absent","No","Sporty","Hotdog","Long","Hotdog",0.554285182673468,0.404680588978074,0.180372134791956,"001011"
"54","Hotdog","No","Sporty","Hotdog","Long","Hotdog",0.554285182673468,0.778336761591896,0.346916227511457,"101011"
"55","Absent","Yes","Sporty","Hotdog","Long","Hotdog",0.624572021882836,0.343214920409833,0.128852483629107,"011011"
"56","Hotdog","Yes","Sporty","Hotdog","Long","Hotdog",0.624572021882836,0.729680071114305,0.273942313770832,"111011"
"57","Absent","No","Lazy","Pizza","Long","Hotdog",0.946748121416259,0.150076650684633,0.00799186358051256,"000111"
"58","Hotdog","No","Lazy","Pizza","Long","Hotdog",0.946748121416259,0.477016208947552,0.0254020092413513,"100111"
"59","Absent","Yes","Lazy","Pizza","Long","Hotdog",0.959650881303193,0.226531664194164,0.00914035300715556,"010111"
"60","Hotdog","Yes","Lazy","Pizza","Long","Hotdog",0.959650881303193,0.602046614866693,0.0242920503242671,"110111"
"61","Absent","No","Sporty","Pizza","Long","Hotdog",0.554285182673468,0.355488446293705,0.158446467901492,"001111"
"62","Hotdog","No","Sporty","Pizza","Long","Hotdog",0.554285182673468,0.740198400851774,0.32991739502104,"101111"
"63","Absent","Yes","Sporty","Pizza","Long","Hotdog",0.624572021882836,0.477764675230027,0.179366226037413,"011111"
"64","Hotdog","Yes","Sporty","Pizza","Long","Hotdog",0.624572021882836,0.825346602774764,0.3098582063256,"111111"
